,show_id,show_name,english,korean,other,genres,cc_src,url,imdb
0,R010,alive,#Alive,#살아있다,---,"Gruesome, Horror, Zombies",Netflix,https://www.imdb.com/title/tt10620868/?ref_=fn_al_tt_1,1
1,R000,100_days_my_prince,100 Days My Prince,백일의 낭군님,百日의 郎君님___Hundred-Day Husband___100 Days of Husband,"heartfelt, romantic, drama, period pieces",Viki,https://www.imdb.com/title/tt8199972/?ref_=nv_sr_srsg_0,1
2,R001,18_again,18 Again,에이틴 어게인,18 어게인,"romantic, comedy, fantasy, drama",Netflix,https://www.imdb.com/title/tt12846096/?ref_=nv_sr_srsg_0,1
3,R002,26_years,26 Years,26년,---,"violent, suspenseful, thriller, drama",netflix,https://www.imdb.com/title/tt2551894/?ref_=nv_sr_srsg_0,1
4,R003,a_korean_odyssey,A Korean Odyssey,화유기,Hwayugi,"chilling, romantic, fantasy, drama",Viki,https://www.imdb.com/title/tt7099334/?ref_=nv_sr_srsg_0,1
5,R004,a_love_so_beautiful,A Love So Beautiful,아름다웠던 우리에게,To Us Who Were Beautiful,"Swoonworthy, charming, teen, romantic, comedy, based on books",Netflix,https://www.imdb.com/title/tt13642264/?ref_=fn_al_tt_1,1
6,R006,a_nation_of_broth,A Nation of Broth,국물의 나라,Land of Soup,"food, wine, lifestyle, social, cultural, docuseries",Netflix,https://mydramalist.com/730339-a-nation-of-broth,0
7,R007,absolute_boyfriend,Absolute Boyfriend,절대 그이,Roco King___Romcom King,"drama, romantic, comedy, fantasy",viki,https://www.imdb.com/title/tt10183478/?ref_=nv_sr_srsg_0,1
8,R008,abyss,Abyss,어비스,---,"ominous, offbeat, fantasy, drama",netflix,https://www.imdb.com/title/tt10055734/?ref_=nv_sr_srsg_8,1
9,R011,all_about_my_wife,All About My Wife,내 아내의 모든 것,---,"absurd, witty, comedy, quirky, romance",Netflix,https://www.imdb.com/title/tt2173264/?ref_=nv_sr_srsg_0,1
10,R012,all_of_us_are_dead,All of Us Are Dead,지금 우리 학교는,---,"Gruesome, Gory, Horror, Based on Webtoon, Teen, Zombies, drama",Netflix,https://www.imdb.com/title/tt14169960/?ref_=fn_tt_tt_1,1
