name,id
100_days_my_prince,R000
18_again,R001
26_years,R002
a_korean_odyssey,R003
a_love_so_beautiful,R004
a_model_family,R005
a_nation_of_broth,R006
absolute_boyfriend,R007
abyss,R008
alchemy_of_souls,R009
alive,R010
all_about_my_wife,R011
all_of_us_are_dead,R012
another_miss_oh,R013
arahan,R014
architecture_101,R015
are_you_human_too,R016
argon,R017
arthdal_chronicles,R018
bad_guys_vile_city,R019
be_melodramatic,R020
beauty_inside,R021
because_this_is_my_first_life,R022
beyond_evil,R023
black,R024
black_dog_being_a_teacher,R025
boys_over_flowers,R026
bulgasal_immortal_souls,R027
business_proposal,R028
busted,R029
cafe_minamdang,R030
carter,R031
celeb_five_behind_the_curtain,R032
change_days,R033
chief_of_staff,R034
chocolate,R035
cinderella_and_the_four_knights,R036
clean_with_passion_for_now,R037
coco_mong,R038
crash_landing_on_you,R039
crazy_romance,R040
cyber_hell_exposing_an_internet_horror,R041
dear_my_friends,R042
descendants_of_the_sun,R043
designated_survivor_60_days,R044
devilish_joy,R045
do_do_sol_sol_la_la_sol,R046
dont_be_the_first_one,R047
doom_at_your_service,R048
dp,R049
eve,R050
extracurricular,R051
extraordinary_attorney_woo,R052
familiar_wife,R053
flower_of_evil,R054
forecasting_love_and_weather,R055
forgotten,R056
goedam,R057
graceful_friends,R058
green_mothers_club,R059
hanwoo_rhapsody,R060
hellbound,R061
hello_me,R062
hello_my_twenties,R063
her_private_life,R064
hi_bye_mama,R065
high_society,R066
hometown_chachacha,R067
hospital_playlist,R068
hotel_del_luna,R069
how_to_use_guys_with_secret_tips,R070
hyena,R071
hymn_of_death,R072
i,R073
i_am_not_a_robot,R074
ill_go_to_you_when_the_weather_is_nice,R075
illang_the_wolf_brigade,R076
inheritors,R077
insider,R078
inspector_koo,R079
iris,R080
itaewon_class,R081
its_okay_to_not_be_okay,R082
jo_pilho_the_dawning_rage,R083
jump_like_a_witch,R084
juvenile_justice,R085
kingdom,R086
kingdom_ashin_of_the_north,R087
kiss_goblin,R088
korean_cold_noodle_rhapsody,R089
korean_pork_belly_rhapsody,R090
larva_pendant,R091
law_school,R092
lawless_lawyer,R093
lee_sugeun_the_sense_coach,R094
life,R095
live,R096
live_up_to_your_name,R097
love_alarm,R098
love_and_leashes,R099
love_ft_marriage_and_divorce,R100
lovestruck_in_the_city,R101
lucid_dream,R102
mad_for_each_other,R103
memories_of_the_alhambra,R104
military_prosecutor_doberman,R105
mine,R106
miniforce,R107
miniforce_super_dino_power,R108
miniforce_x,R109
miracle_in_cell_no_7,R110
misaeng_incomplete_life,R111
miss_&_mrs_cops,R112
miss_granny,R113
misty,R114
moment_of_eighteen,R115
money_heist_korea_joint_economic_area,R116
monkart,R117
monthly_magazine_home,R118
more_than_friends,R119
mouse,R120
move_to_heaven,R121
mr_boss,R122
mr_queen,R123
mr_sunshine,R124
my_country_the_new_age,R125
my_first_first_love,R126
my_girlfriend_is_an_agent,R127
my_holo_love,R128
my_id_is_gangnam_beauty,R129
my_liberation_notes,R130
my_mister,R131
my_name,R132
my_only_love_song,R133
my_roommate_is_a_gumiho,R134
my_runway,R135
my_sassy_girl,R136
my_sassy_girl_2001,R137
my_secret_romance,R138
my_shy_boss,R139
my_unfamiliar_family,R140
mystic_popup_bar,R141
navillera,R142
never_give_up,R143
