begin,end,id,text,prep_verbal,prep_read
7.074,9.543,R278-S01-T001-U000001,[드럼 소리],,드럼 소리
11.345,17.918,R278-S01-T001-U000002,[관중의 환호와 박수],,관중의 환호와 박수
24.858,28.228,R278-S01-T001-U000003,[드럼 연주 소리][관중의 환호],,드럼 연주 소리 관중의 환호
38.171,42.709,R278-S01-T001-U000004,[드럼 연주와 박수 소리],,드럼 연주와 박수 소리
58.058,60.093,R278-S01-T001-U000005,[관중의 환호],,관중의 환호
60.16,62.93,R278-S01-T001-U000006,(남성)큰 박수로 맞아주시기 바랍니다,큰 박수로 맞아주시기 바랍니다,남성 큰 박수로 맞아주시기 바랍니다
63.363,67.034,R278-S01-T001-U000007,유병재!,유병재 !,유병재 !
67.1,70.07,R278-S01-T001-U000008,[관중의 환호와 박수],,관중의 환호와 박수
86.82,89.656,R278-S01-T001-U000009,"(병재) 더 해주세요다 듣고 하겠습니다, 더 해주세요","더 해주세요다 듣고 하겠습니다 , 더 해주세요","병재 더 해주세요다 듣고 하겠습니다 , 더 해주세요"
89.723,91.825,R278-S01-T001-U000010,[관중의 환호와 박수],,관중의 환호와 박수
91.892,93.293,R278-S01-T001-U000011,[병재의 웃음],,병재의 웃음
95.228,97.698,R278-S01-T001-U000012,"감사합니다, 감사합니다감사합니다","감사합니다 , 감사합니다감사합니다","감사합니다 , 감사합니다감사합니다"
97.764,99.433,R278-S01-T001-U000013,[외치는 소리],,외치는 소리
99.499,103.203,R278-S01-T001-U000014,네 지금 방금 잘생겼다고해주셨는데 왜냐면은 제가,네 지금 방금 잘생겼다고해주셨는데 왜냐면은 제가,네 지금 방금 잘생겼다고해주셨는데 왜냐면은 제가
103.27,105.005,R278-S01-T001-U000015,오늘 스탠드업코미디다 보니까,오늘 스탠드업코미디다 보니까,오늘 스탠드업코미디다 보니까
105.072,107.708,R278-S01-T001-U000016,한 시간 내내 저만 떠들어요지금 방금 말씀하신 것처럼,한 시간 내내 저만 떠들어요지금 방금 말씀하신 것처럼,한 시간 내내 저만 떠들어요지금 방금 말씀하신 것처럼
107.774,109.543,R278-S01-T001-U000017,잘생겼다 이런 말하고 싶으신 분은,잘생겼다 이런 말하고 싶으신 분은,잘생겼다 이런 말하고 싶으신 분은
109.609,111.244,R278-S01-T001-U000018,지금 다 해주시면다 듣고 가겠습니다,지금 다 해주시면다 듣고 가겠습니다,지금 다 해주시면다 듣고 가겠습니다
111.311,112.279,R278-S01-T001-U000019,(관중) 잘생겼다!,잘생겼다 !,관중 잘생겼다 !
112.346,114.314,R278-S01-T001-U000020,"잘생겼다네, 귀엽다","잘생겼다네 , 귀엽다","잘생겼다네 , 귀엽다"
114.381,115.949,R278-S01-T001-U000021,[외치는 소리],,외치는 소리
116.016,118.185,R278-S01-T001-U000022,"자, 머리가 노랗다","자 , 머리가 노랗다","자 , 머리가 노랗다"
118.251,119.586,R278-S01-T001-U000023,[외치는 소리],,외치는 소리
119.653,121.621,R278-S01-T001-U000024,이빨 노랗다 어떤 분이시죠?,이빨 노랗다 어떤 분이시죠 ?,이빨 노랗다 어떤 분이시죠 ?
121.688,124.458,R278-S01-T001-U000025,"[관객의 웃음](병재) 감사합니다, 감사합니다","감사합니다 , 감사합니다","관객의 웃음 병재 감사합니다 , 감사합니다"
124.558,126.827,R278-S01-T001-U000026,일단 너무 당연한 말이지만,일단 너무 당연한 말이지만,일단 너무 당연한 말이지만
126.893,128.962,R278-S01-T001-U000027,감사하단 말씀으로시작을 해야 될 것 같습니다,감사하단 말씀으로시작을 해야 될 것 같습니다,감사하단 말씀으로시작을 해야 될 것 같습니다
129.029,131.999,R278-S01-T001-U000028,이렇게 바쁘신 와중에 시간 내서와주셔서 정말 너무 감사드립니다,이렇게 바쁘신 와중에 시간 내서와주셔서 정말 너무 감사드립니다,이렇게 바쁘신 와중에 시간 내서와주셔서 정말 너무 감사드립니다
132.065,134.701,R278-S01-T001-U000029,[관중의 환호와 박수],,관중의 환호와 박수
137.17,139.673,R278-S01-T001-U000030,너무도 감사하게어렵게 와주신 만큼,너무도 감사하게어렵게 와주신 만큼,너무도 감사하게어렵게 와주신 만큼
140.641,143.51,R278-S01-T001-U000031,모든 분들을 만족시키고 싶어요그러니까,모든 분들을 만족시키고 싶어요그러니까,모든 분들을 만족시키고 싶어요그러니까
