English,Korean,Other,DL,ISSUE,CC SRC,Validate,Assign,Genres,List,Link,IMDb
#Alive,#살아있다,---,1,---,Netflix,1,-Done,"Gruesome, Horror, Zombies",netflix,https://www.imdb.com/title/tt10620868/?ref_=fn_al_tt_1,1
100 Days My Prince,백일의 낭군님,百日의 郎君님___Hundred-Day Husband___100 Days of Husband,1,resolved,Viki,1,-done,"heartfelt, romantic, drama, period pieces",netflix,https://www.imdb.com/title/tt8199972/?ref_=nv_sr_srsg_0,1
18 Again,에이틴 어게인,18 어게인,1,skvpn,Netflix,1,-done,"romantic, comedy, fantasy, drama",listed,https://www.imdb.com/title/tt12846096/?ref_=nv_sr_srsg_0,1
26 Years,26년,---,1,sk vpn,netflix,1,-done,"violent, suspenseful, thriller, drama",netflix,https://www.imdb.com/title/tt2551894/?ref_=nv_sr_srsg_0,1
A Korean Odyssey,화유기,Hwayugi,1,resolved,Viki,1,-done,"chilling, romantic, fantasy, drama",netflix,https://www.imdb.com/title/tt7099334/?ref_=nv_sr_srsg_0,1
A Love So Beautiful,아름다웠던 우리에게,To Us Who Were Beautiful,1,Note: Korean OA Version (Done),Netflix,1,-Done,"Swoonworthy, charming, teen, romantic, comedy, based on books",netflix,https://www.imdb.com/title/tt13642264/?ref_=fn_al_tt_1,1
A Nation of Broth,국물의 나라,Land of Soup,1,---,Netflix,1,-done,"food, wine, lifestyle, social, cultural, docuseries",netflix,https://mydramalist.com/730339-a-nation-of-broth,0
Absolute Boyfriend,절대 그이,Roco King___Romcom King,1,---,viki,1,-done,"drama, romantic, comedy, fantasy",listed,https://www.imdb.com/title/tt10183478/?ref_=nv_sr_srsg_0,1
Abyss,어비스,---,1,"resolved
sk vpn",netflix,1,-Done,"ominous, offbeat, fantasy, drama",netflix,https://www.imdb.com/title/tt10055734/?ref_=nv_sr_srsg_8,1
All About My Wife,내 아내의 모든 것,---,1,skvpn,Netflix,1,-done,"absurd, witty, comedy, quirky, romance",listed,https://www.imdb.com/title/tt2173264/?ref_=nv_sr_srsg_0,1
All of Us Are Dead,지금 우리 학교는,---,1,---,Netflix,1,-Done,"Gruesome, Gory, Horror, Based on Webtoon, Teen, Zombies, drama",netflix,https://www.imdb.com/title/tt14169960/?ref_=fn_tt_tt_1,1
Another Miss Oh,또! 오해영,또 오해영___또! 誤解영___Another Oh Hae-young___Oh Hae Young Again,1,---,Netflix,1,-Done,"swoonworthy, charming, comedy, feel-good, romantic",netflix,https://www.imdb.com/title/tt5679572/?ref_=nv_sr_srsg_0,1
Arahan,아라한 장풍 대작전,---,1,---,Netflix,1,-Done,"heartfelt, exciting, action, comedy, adventure, martial arts",netflix,https://www.imdb.com/title/tt0404777/?ref_=nv_sr_srsg_0,1
Architecture 101,건축학개론,Introduction to Architecture,1,skvpn,Netflix,1,-done,"romantic, youth, college, drama",listed,https://www.imdb.com/title/tt2337981/?ref_=nv_sr_srsg_0,1
Are You Human Too?,너도 인간이니?,Are You Human?,1,---,viki,1,-done,"romantic, comedy, fantasy, action",listed,https://www.imdb.com/title/tt7817966/?ref_=nv_sr_srsg_0,1
Argon,아르곤,---,1,sk vpn,Netflix,1,-Done,"inspiring, drama, ensemble, political",netflix,https://www.imdb.com/title/tt7094798/?ref_=nv_sr_srsg_4,1
Arthdal Chronicles,아스달 연대기,아스달 年代記,1,"Resolved
Sourced from SK VPN",OpenSubs,1,-Done,"Emotional, Exciting, fantasy, period pieces",netflix,https://www.imdb.com/title/tt8750956/?ref_=nv_sr_srsg_0,1
Bad Guys: Vile City,나쁜 녀석들: 악의 도시,Bad Guys: City of Evil,1,sk vpn,Netflix,1,-done,"rousing, violent, thriller, crime, gritty",netflix,https://www.imdb.com/title/tt12404980/?ref_=nv_sr_srsg_0,1
Be Melodramatic,멜로가 체질,Melo Suits Me___Melo Is My Nature,1,sk vpn,netflix,1,-done,"witty, romantic, comedy",listed,https://www.imdb.com/title/tt10559276/?ref_=nv_sr_srsg_0,1
Beauty Inside,뷰티 인사이드,---,1,"resolved
sourced from sk vpn",Netflix,1,-done,"quirky, romantic, comedy",netflix,https://www.imdb.com/title/tt8801708/?ref_=nv_sr_srsg_0,1
Because This Is My First Life,이번 생은 처음이라,This Life Is Our First,1,---,Netflix,1,-done,"swoonworthy, charming, comedy, romantic, heartfelt",netflix,https://www.imdb.com/title/tt7278588/?ref_=nv_sr_srsg_0,1
Beyond Evil,괴물,怪物___Monster,1,resolved,Viki,1,-done,"dark, suspenseful, thriller, crime",netflix,https://www.imdb.com/title/tt13634872/?ref_=nv_sr_srsg_0,1
Black,블랙,---,1,sk vpn,Netflix,1,-done,"chilling, fantasy, investigation, mystery, crime",netflix,https://www.imdb.com/title/tt7298976/?ref_=fn_al_tt_1,1
Black Dog: Being a Teacher,블랙독,Black Dog,1,---,Netflix,1,-done,"heartfelt, inspiring, drama, emotional",netflix,https://www.imdb.com/title/tt11377920/?ref_=nv_sr_srsg_1,1
Boys Over Flowers,꽃보다 남자,BBF___BOF___Boys Before Flowers,1,---,Netflix,1,-done,"swoonworthy, soapy, teen, drama, romantic, based on manga, quirky",netflix,https://www.imdb.com/title/tt1370334/?ref_=nv_sr_srsg_0,1
Bulgasal: Immortal Souls,불가살,不可殺___Immortal,1,---,Netflix,1,-done,"Dark, Emotional, Suspenseful, Fantasy, Thriller",netflix,https://www.imdb.com/title/tt14691616/?ref_=nv_sr_srsg_0,1
Business Proposal,사내 맞선,The Office Blind Date,1,---,Netflix,1,-done,"swoonworthy, charming, comedy, drama, based on webtoon, romantic",netflix,https://www.imdb.com/title/tt14819828/?ref_=nv_sr_srsg_0,1
Busted!,범인은 바로 너,Busted! I Know Who You Are!___The Culprit Is You,1,sk vpn,Netflix,1,-done,"suspenseful, exciting, variety, mystery, crime",netflix,https://www.imdb.com/title/tt8328460/?ref_=nv_sr_srsg_0,1
Carter,카터,---,1,---,Netflix,1,-done,"Explosive, violent, action, adventure, exciting",netflix,https://www.imdb.com/title/tt21237030/?ref_=nv_sr_srsg_0,1
Celeb Five: Behind the Curtain,셀럽은 회의 중,---,1,---,Netflix,1,-done,"raunchy, mockumentary, enemble, comedy, late night",netflix,https://www.imdb.com/title/tt18570468/?ref_=nv_sr_srsg_0,1
Chief of Staff,보좌관,Aide,1,sk vpn,Netflix,1,-done,"inspiring, drama, rivalry, political, social issue",netflix,https://www.imdb.com/title/tt10220476/?ref_=nv_sr_srsg_0,1
Chocolate,초콜릿,---,1,sk vpn,Netflix,1,-done,"heartfelt, romantic, drama, medical",netflix,https://www.imdb.com/title/tt11214028/?ref_=fn_tt_tt_7,1
Cinderella and the Four Knights,신데렐라와 네 명의 기사,Cinderella and Four Knights,1,resolved,Viki,1,-done,"swoonworthy, charming, dramedy, drama, comedy, goofy, romantic",netflix,https://www.imdb.com/title/tt5764414/?ref_=nv_sr_srsg_0,1
Clean With Passion For Now,일단 뜨겁게 청소하라,---,1,resolved,viki,1,-done,"charming, quirky, comedy, drama, based on webtoon, romantic",netflix,https://www.imdb.com/title/tt7981562/?ref_=nv_sr_srsg_0,1
Crash Landing on You,사랑의 불시착,---,1,---,Netflix,1,-done,"Swoonworthy, Charming, Dramedy, romantic, drama, comedy, heartfelt",netflix,https://www.imdb.com/title/tt10850932/?ref_=nv_sr_srsg_0,1
Crazy Romance,가장 보통의 연애,The Most Common Date,1,skvpn,Netflix,1,-done,"romance, heartfelt, comedy",listed,https://www.imdb.com/title/tt11041006/?ref_=nv_sr_srsg_0,1
Cyber Hell: Exposing an Internet Horror,---,---,1,---,netflix,1,-done,"riveting, investigative, true crime, documentaries",netflix,https://www.imdb.com/title/tt19768508/?ref_=nv_sr_srsg_0,1
D.P.,디피,Deserter Pursuit,1,---,Netflix,1,-done,"Gritty, Dark, Drama, Based on Webtoon, Social Issue",netflix,https://www.imdb.com/title/tt13024974/?ref_=nv_sr_srsg_0,1
Dear My Friends,디어 마이 프렌즈,---,1,sk vpn,netflix,1,-done,"sentimental, heartfelt, drama, inspiring",netflix,https://www.imdb.com/title/tt5689030/?ref_=nv_sr_srsg_0,1
